userid,id
134554,15494835
11480,15494875
104891,15494879
29407,15494920
64174,15494921
33213,15494923
119230,15494940
41619,15494943
44232,15494947
29407,15494962
57695,15494973
44232,15494985
100405,15494987
29639,15494990
113962,15494999
476,15495019
14193,15495030
100297,15495058
93647,15495068
88896,15495074
14357,15495085
29639,15495107
29407,15495120
75103,15495137
44232,15495142
10527,15495196
29407,15495198
127965,15495212
61974,15495214
29407,15495233
23354,15495244
55859,15495262
29407,15495271
55859,15495286
29407,15495295
36305,15495298
110452,15495314
44232,15495318
971,15495349
7552,15495350
37213,15495361
1135,15495366
141311,15495383
13633,15495391
94363,15495393
1714,15495397
29407,15495401
971,15495419
621,15495440
95033,15495452
123005,15495464
105672,15495466
29407,15495487
8922,15495493
93647,15495498
41690,15495509
57937,15495513
95033,15495529
92153,15495533
99215,15495536
27083,15495537
132442,15495558
113962,15495598
74314,15495599
58553,15495600
74314,15495601
58553,15495602
17867,15495610
19956,15495612
115145,15495613
100776,15495622
93959,15495626
15541,15495650
23354,15495659
38368,15495664
23354,15495670
138256,15495677
15541,15495685
20670,15495697
134830,15495711
95033,15495717
50776,15495739
124119,15495776
29407,15495785
5343,15495814
95033,15495827
57695,15495832
50552,15495838
116614,15495844
110707,15495855
39709,15495889
19450,15495895
40759,15495919
132442,15495926
114226,15495930
83805,15495956
23528,15495963
50552,15495978
36565,15496007
121853,15496035
57695,15496039
13744,15496048
55859,15496066
107783,15496070
81504,15496089
117242,15496125
69178,15496163
140503,15496172
20580,15496178
18797,15496186
33727,15496203
43796,15496235
113938,15496253
100297,15496254
23528,15496255
79379,15496267
6932,15496273
115145,15496276
8427,15496279
83982,15496287
83809,15496303
34397,15496314
50552,15496318
29407,15496319
69178,15496347
34397,15496354
100297,15496361
3497,15496368
25450,15496373
142162,15496379
31325,15496382
22656,15496388
64904,15496393
100297,15496400
25450,15496406
99834,15496424
104891,15496429
8427,15496436
50552,15496453
40759,15496468
17034,15496497
93652,15496501
22656,15496503
24109,15496507
138772,15496512
93647,15496521
100297,15496539
22656,15496543
93311,15496545
14343,15496549
46308,15496551
119114,15496565
20047,15496569
2591,15496577
20580,15496606
28543,15496613
82586,15496621
29407,15496629
76722,15496642
93647,15496645
142162,15496663
14357,15496668
50552,15496671
6932,15496673
117242,15496677
50776,15496688
22656,15496689
105264,15496696
9833,15496725
122139,15496736
76722,15496739
57783,15509830
39138,15509855
19624,15509858
549,15509862
2548,15509871
5921,15509882
57783,15509888
142071,15509908
139010,15509912
2548,15509916
68287,15509934
68287,15509948
2548,15509971
16241,15509980
82294,15509985
1898,15509988
12711,15509990
73137,15509992
104349,15509993
1237,15509994
25450,15509997
51816,15510006
16511,15510018
2548,15510026
36565,15510038
12711,15510053
4304,15510055
30433,15510068
38332,15510071
67022,15510073
86421,15510079
61164,15510086
21352,15510107
5620,15510112
119230,15510119
106224,15510132
25450,15510146
5620,15510150
9842,15510154
65863,15510158
129196,15510159
82548,15510167
104223,15510168
10468,15510190
30433,15510202
82548,15510211
84704,15510215
17781,15510224
23915,15510239
51816,15510240
84704,15510243
129565,15510281
1175,15510283
81053,15510301
73656,15510305
14343,15510306
57695,15510311
128940,15510312
122607,15510314
44729,15510322
17781,15510323
84704,15510324
117700,15510332
44729,15510361
109937,15510386
84704,15510391
12711,15510396
141555,15510409
115730,15510426
84704,15510428
